"","year","state","state_po","state_fips","state_cen","state_ic","office","candidate","party_detailed","writein","candidatevotes","totalvotes","version","notes","party_simplified"
"33",1976,"COLORADO","CO",8,84,62,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,26047,1081440,20210113,NA,"OTHER"
"34",1976,"COLORADO","CO",8,84,62,"US PRESIDENT","MACBRIDE, ROGER","LIBERTARIAN",FALSE,5338,1081440,20210113,NA,"LIBERTARIAN"
"35",1976,"COLORADO","CO",8,84,62,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,2886,1081440,20210113,NA,"OTHER"
"36",1976,"COLORADO","CO",8,84,62,"US PRESIDENT","CAMEJO, PETER","SOCIALIST WORKERS",FALSE,1122,1081440,20210113,NA,"OTHER"
"37",1976,"COLORADO","CO",8,84,62,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,565,1081440,20210113,NA,"OTHER"
"38",1976,"COLORADO","CO",8,84,62,"US PRESIDENT","HALL, GUS","COMMUNIST PARTY USE",FALSE,403,1081440,20210113,NA,"OTHER"
"39",1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,719261,1386355,20210113,NA,"REPUBLICAN"
"40",1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,647895,1386355,20210113,NA,"DEMOCRAT"
"41",1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","SCATTERING","",FALSE,10309,1386355,20210113,NA,"OTHER"
"42",1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","MADDOX, LESTER","AMERICAN INDEPENDENT PARTY",FALSE,7101,1386355,20210113,NA,"OTHER"
"43",1976,"CONNECTICUT","CT",9,16,1,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,1789,1386355,20210113,NA,"OTHER"
"44",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,122461,235642,20210113,NA,"DEMOCRAT"
"45",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,109780,235642,20210113,NA,"REPUBLICAN"
"46",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","","NO PARTY AFFILIATION",FALSE,2432,235642,20210113,NA,"OTHER"
"47",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,645,235642,20210113,NA,"OTHER"
"48",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","LAROUCHE, LYNDON, JR.","U.S. LABOR",FALSE,135,235642,20210113,NA,"OTHER"
"49",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","BUBAR, BENJAMIN """"BEN""""","PROHIBITION",FALSE,103,235642,20210113,NA,"OTHER"
"50",1976,"DELAWARE","DE",10,51,11,"US PRESIDENT","","SOCIALIST LABOR",FALSE,86,235642,20210113,NA,"OTHER"
"51",1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,137818,168830,20210113,NA,"DEMOCRAT"
"52",1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,27873,168830,20210113,NA,"REPUBLICAN"
"53",1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","OTHER","",FALSE,1656,168830,20210113,NA,"OTHER"
"54",1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","","INDEPENDENT",FALSE,1195,168830,20210113,NA,"OTHER"
"55",1976,"DISTRICT OF COLUMBIA","DC",11,53,55,"US PRESIDENT","","",TRUE,288,168830,20210113,NA,"OTHER"
"56",1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","CARTER, JIMMY","DEMOCRAT",FALSE,1636000,3150631,20210113,NA,"DEMOCRAT"
"57",1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","FORD, GERALD","REPUBLICAN",FALSE,1469531,3150631,20210113,NA,"REPUBLICAN"
"58",1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","MCCARTHY, EUGENE """"GENE""""","INDEPENDENT",FALSE,23643,3150631,20210113,NA,"OTHER"
"59",1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","ANDERSON, THOMAS J.","AMERICAN",FALSE,21325,3150631,20210113,NA,"OTHER"
"60",1976,"FLORIDA","FL",12,59,43,"US PRESIDENT","","",TRUE,132,3150631,20210113,NA,"OTHER"
