year,state,new_party,region,party_total
1976,NEW MEXICO,Republican,Southwest,0.5074989798122854
1976,NEW MEXICO,Third_Party,Southwest,0.00965697688374661
1976,NEW YORK,Democrat,Northeast,0.4865083285569763
1976,NEW YORK,Republican,Northeast,0.4237855381207277
1976,NEW YORK,Third_Party,Northeast,0.08970613332229596
1976,NORTH CAROLINA,Democrat,Southeast,0.5526918671248569
1976,NORTH CAROLINA,Republican,Southeast,0.4421940204040036
1976,NORTH CAROLINA,Third_Party,Southeast,0.005114112471139623
1976,NORTH DAKOTA,Democrat,Midwest,0.4577004318753616
1976,NORTH DAKOTA,Republican,Midwest,0.5169184818437446
1976,NORTH DAKOTA,Third_Party,Midwest,0.02538108628089389
1976,OHIO,Democrat,Midwest,0.4889868666639419
1976,OHIO,Republican,Midwest,0.48671631565938184
1976,OHIO,Third_Party,Midwest,0.02429681767667626
1976,OKLAHOMA,Democrat,Southwest,0.48747220190231
1976,OKLAHOMA,Republican,Southwest,0.4996177618514426
1976,OKLAHOMA,Third_Party,Southwest,0.012910036246247428
1976,OREGON,Democrat,Pacific,0.47618062757069785
1976,OREGON,Republican,Pacific,0.4778439346096035
1976,OREGON,Third_Party,Pacific,0.04597543781969868
1976,PENNSYLVANIA,Democrat,Northeast,0.5039567935072532
1976,PENNSYLVANIA,Republican,Northeast,0.4773221531310575
1976,PENNSYLVANIA,Third_Party,Northeast,0.01872105336168925
1976,RHODE ISLAND,Democrat,Northeast,0.5544200455935935
1976,RHODE ISLAND,Republican,Northeast,0.4414419461060343
1976,RHODE ISLAND,Third_Party,Northeast,0.004138008300372153
1976,SOUTH CAROLINA,Democrat,Southeast,0.5616951766982355
1976,SOUTH CAROLINA,Republican,Southeast,0.43129371043244125
1976,SOUTH CAROLINA,Third_Party,Southeast,0.007011112869323173
1976,SOUTH DAKOTA,Democrat,Midwest,0.48912125263570994
1976,SOUTH DAKOTA,Republican,Midwest,0.5038779026067753
1976,SOUTH DAKOTA,Third_Party,Midwest,0.007000844757514684
1976,TENNESSEE,Democrat,Southeast,0.5594074830696869
1976,TENNESSEE,Republican,Southeast,0.4294176297426213
1976,TENNESSEE,Third_Party,Southeast,0.011174887187691777
1976,TEXAS,Democrat,Southwest,0.511389568072175
1976,TEXAS,Republican,Southwest,0.4797042351894111
1976,TEXAS,Third_Party,Southwest,0.008906196738413964
1976,UTAH,Democrat,Rocky Mountain,0.3364817873758818
1976,UTAH,Republican,Rocky Mountain,0.6243473055219892
1976,UTAH,Third_Party,Rocky Mountain,0.03917090710212891
1976,VERMONT,Democrat,Northeast,0.42304053245750456
1976,VERMONT,Republican,Northeast,0.5458722580504834
1976,VERMONT,Third_Party,Northeast,0.03108720949201205
1976,VIRGINIA,Democrat,Southeast,0.47958215632133516
1976,VIRGINIA,Republican,Southeast,0.4929332140706408
1976,VIRGINIA,Third_Party,Southeast,0.027484629608024072
1976,WASHINGTON,Democrat,Pacific,0.46114260440466104
1976,WASHINGTON,Republican,Pacific,0.49997749968821
1976,WASHINGTON,Third_Party,Pacific,0.038879895907129
1976,WEST VIRGINIA,Democrat,Southeast,0.5806951864533234
1976,WEST VIRGINIA,Republican,Southeast,0.4193048135466766
1976,WISCONSIN,Democrat,Midwest,0.4950336357441171
1976,WISCONSIN,Republican,Midwest,0.4782609730190698
1976,WISCONSIN,Third_Party,Midwest,0.026705391236813154
1976,WYOMING,Democrat,Rocky Mountain,0.39809265525159426
1976,WYOMING,Republican,Rocky Mountain,0.5930358250769142
1976,WYOMING,Third_Party,Rocky Mountain,0.008871519671491529
1980,ALABAMA,Democrat,Southeast,0.47448859067804633
1980,ALABAMA,Republican,Southeast,0.4875012016284021
1980,ALABAMA,Third_Party,Southeast,0.038010207693551595
1980,ALASKA,Democrat,Pacific,0.2640790179557575
1980,ALASKA,Republican,Pacific,0.5434819653507527
1980,ALASKA,Third_Party,Pacific,0.19243901669348987
1980,ARIZONA,Democrat,Southwest,0.28244683589928427
1980,ARIZONA,Republican,Southwest,0.6060884838290739
1980,ARIZONA,Third_Party,Southwest,0.11146468027164179
1980,ARKANSAS,Democrat,Southeast,0.4752263062004675
1980,ARKANSAS,Republican,Southeast,0.4813427222648051
1980,ARKANSAS,Third_Party,Southeast,0.04343097153472734
1980,CALIFORNIA,Democrat,Pacific,0.35919436910764124
1980,CALIFORNIA,Republican,Pacific,0.5269750288304541
1980,CALIFORNIA,Third_Party,Pacific,0.11383060206190466
1980,COLORADO,Democrat,Rocky Mountain,0.3107003250453797
1980,COLORADO,Republican,Rocky Mountain,0.5506893494871037
1980,COLORADO,Third_Party,Rocky Mountain,0.1386103254675166
1980,CONNECTICUT,Democrat,Northeast,0.3852220566954778
1980,CONNECTICUT,Republican,Northeast,0.4815595700729226
1980,CONNECTICUT,Third_Party,Northeast,0.13321837323159957
1980,DELAWARE,Democrat,Northeast,0.4487414498362103
1980,DELAWARE,Republican,Northeast,0.47207087937267683
1980,DELAWARE,Third_Party,Northeast,0.07918767079111293
1980,DISTRICT OF COLUMBIA,Democrat,Northeast,0.7489317898199426
1980,DISTRICT OF COLUMBIA,Republican,Northeast,0.134068284940393
1980,DISTRICT OF COLUMBIA,Third_Party,Northeast,0.11699992523966438
1980,FLORIDA,Democrat,Southeast,0.38500219830769633
1980,FLORIDA,Republican,Southeast,0.5551916270650328
1980,FLORIDA,Third_Party,Southeast,0.0598061746272709
1980,GEORGIA,Democrat,Southeast,0.5579610534786652
1980,GEORGIA,Republican,Southeast,0.409673065903476
1980,GEORGIA,Third_Party,Southeast,0.03236588061785879
1980,HAWAII,Democrat,Pacific,0.4480211812573569
1980,HAWAII,Republican,Pacific,0.42900618885741887
1980,HAWAII,Third_Party,Pacific,0.12297262988522423
1980,IDAHO,Democrat,Rocky Mountain,0.25190715792890767
1980,IDAHO,Republican,Rocky Mountain,0.6645596676961624
1980,IDAHO,Third_Party,Rocky Mountain,0.08353317437492999
1980,ILLINOIS,Democrat,Midwest,0.41716408184817594
1980,ILLINOIS,Republican,Midwest,0.49646052894475273
1980,ILLINOIS,Third_Party,Midwest,0.0863753892070713
1980,INDIANA,Democrat,Midwest,0.3765319243739945
1980,INDIANA,Republican,Midwest,0.5600524167128673
1980,INDIANA,Third_Party,Midwest,0.06341565891313822
1980,IOWA,Democrat,Midwest,0.3860416298273987
1980,IOWA,Republican,Midwest,0.5130500181761469
1980,IOWA,Third_Party,Midwest,0.10090835199645432
1980,KANSAS,Democrat,Midwest,0.33287575462214036
1980,KANSAS,Republican,Midwest,0.578500604718334
1980,KANSAS,Third_Party,Midwest,0.0886236406595257
1980,KENTUCKY,Democrat,Southeast,0.4765391582608266
1980,KENTUCKY,Republican,Southeast,0.4903216743707873
1980,KENTUCKY,Third_Party,Southeast,0.03313916736838612
1980,LOUISIANA,Democrat,Southeast,0.45748231779727505
1980,LOUISIANA,Republican,Southeast,0.5119834740095996
1980,LOUISIANA,Third_Party,Southeast,0.03053420819312523
1980,MAINE,Democrat,Northeast,0.42250354199051265
1980,MAINE,Republican,Northeast,0.45605541757247936
1980,MAINE,Third_Party,Northeast,0.12144104043700803
1980,MARYLAND,Democrat,Northeast,0.4713812953749961
1980,MARYLAND,Republican,Northeast,0.44180965091762653
1980,MARYLAND,Third_Party,Northeast,0.08680905370737736
1980,MASSACHUSETTS,Democrat,Northeast,0.41749779128319514
1980,MASSACHUSETTS,Republican,Northeast,0.41901477364119344
1980,MASSACHUSETTS,Third_Party,Northeast,0.16348743507561142
1980,MICHIGAN,Democrat,Midwest,0.42497413500949555
1980,MICHIGAN,Republican,Midwest,0.48986181892588354
1980,MICHIGAN,Third_Party,Midwest,0.08516404606462093
1980,MINNESOTA,Democrat,Midwest,0.4650156244212726
1980,MINNESOTA,Republican,Midwest,0.4255866224543305
1980,MINNESOTA,Third_Party,Midwest,0.1093977531243969
1980,MISSISSIPPI,Democrat,Southeast,0.48139164564059433
