"","GEOID","NAME","total","white","black","aian","asian","twoormore","nhpi","hispanic","whiteperc","blackperc","aianperc","asianperc","twoormoreperc","nhpiperc","hispanicperc","year","state","region","Democrat","Republican","Third_Party"
"27","31","Nebraska",1961504,1538052,96535,23102,52951,144163,1534,234715,0.784118717066088,0.0492147862048714,0.0117776971140513,0.0269951017178655,0.0734961539716462,0.000782052955283293,0.119660729725761,2020,"NEBRASKA","Midwest",0.39166630941788,0.582241633320542,0.0260920572615783
"28","39","Ohio",11799448,9080688,1478781,30720,298509,681372,5034,521308,0.769585831472794,0.12532628645001,0.0026035116218996,0.0252985563392457,0.0577460911730786,0.000426630127104251,0.0441807108264726,2020,"OHIO","Midwest",0.45239338340705,0.532713001008746,0.0148936155842033
"29","08","Colorado",5773714,4082927,234828,74129,199827,707670,10287,1263390,0.707157819039876,0.0406719141266783,0.012839049526873,0.0346097849668342,0.122567553571237,0.00178169545633885,0.218817558334202,2020,"COLORADO","Rocky Mountain",0.550110671406533,0.416041256349124,0.033848072244343
"30","34","New Jersey",9288994,5112280,1219770,51186,950090,903494,3533,2002575,0.550358844025521,0.131313466237571,0.00551039219101659,0.10228125887475,0.0972649998482075,0.000380342586075521,0.21558577818007,2020,"NEW JERSEY","Northeast",0.57334196752813,0.413965238573485,0.0126927938983851
"31","24","Maryland",6177224,3007874,1820472,31845,420944,481901,3247,729745,0.486929727657602,0.294707137057034,0.00515522830319898,0.0681445257610862,0.0780125506214442,0.000525640643758426,0.118134780283182,2020,"MARYLAND","Northeast",0.653606648600771,0.321502915677488,0.0248904357217413
"32","51","Virginia",8631393,5208856,1607581,40007,615436,705707,7156,908749,0.603478024925988,0.186248152528798,0.0046350571686401,0.0713020482325391,0.0817604991453871,0.000829066640807573,0.105284164444835,2020,"VIRGINIA","Southeast",0.541095171778024,0.439955036672821,0.0189497915491543
"33","50","Vermont",643077,577751,9034,2289,11549,37026,181,15504,0.898416519328168,0.014048084444009,0.0035594493349941,0.017958969143664,0.0575763089023554,0.000281459296476161,0.0241090880252287,2020,"VERMONT","Northeast",0.654557805525005,0.303810571262211,0.0416316232127839
"34","37","North Carolina",10439388,6488459,2140217,130032,343051,711721,8518,1118596,0.621536339103403,0.205013646393831,0.0124559025873931,0.0328612175349743,0.0681765061323518,0.000815948214588825,0.107151492022329,2020,"NORTH CAROLINA","Southeast",0.485862117773632,0.499343324882955,0.0147945573434125
"35","05","Arkansas",3011524,2114512,453783,27177,51839,213575,14533,256847,0.702140178859607,0.150682179521066,0.0090243345229857,0.0172135437074385,0.0709192422175616,0.00482579584290213,0.0852880468493693,2020,"ARKANSAS","Southeast",0.34775061953015,0.623957298561443,0.0282920819084072
"36","53","Washington",7705281,5130920,307565,121468,730596,836659,64933,1059213,0.665896545499119,0.0399161302488514,0.0157642531141953,0.094817567328174,0.10858254228496,0.00842707748101594,0.137465849720471,2020,"WASHINGTON","Pacific",0.579703011353031,0.387669777433433,0.0326272112135366
"37","20","Kansas",2937880,2222462,168809,30995,86273,280507,3412,382603,0.756484948330088,0.0574594605633995,0.0105501245796288,0.0293657331136738,0.0954793933040151,0.00116138167658311,0.130230982885618,2020,"KANSAS","Midwest",0.415595535388322,0.562125128342647,0.022279336269031
"38","40","Oklahoma",3959353,2514885,289961,332791,90949,508158,8608,471931,0.635175747148587,0.0732344400713955,0.0840518640292997,0.0229706722285181,0.128343696558503,0.00217409258532897,0.119193969317714,2020,"OKLAHOMA","Southwest",0.322861743359866,0.65373271848063,0.0234055381595042
