"","year","state","new_party","party_total"
"100",1976,"NORTH CAROLINA","Third_Party",0.00511411247113962
"101",1976,"NORTH DAKOTA","Democrat",0.457700431875362
"102",1976,"NORTH DAKOTA","Republican",0.516918481843745
"103",1976,"NORTH DAKOTA","Third_Party",0.0253810862808939
"104",1976,"OHIO","Democrat",0.488986866663942
"105",1976,"OHIO","Republican",0.486716315659382
"106",1976,"OHIO","Third_Party",0.0242968176766763
"107",1976,"OKLAHOMA","Democrat",0.48747220190231
"108",1976,"OKLAHOMA","Republican",0.499617761851443
"109",1976,"OKLAHOMA","Third_Party",0.0129100362462474
"110",1976,"OREGON","Democrat",0.476180627570698
"111",1976,"OREGON","Republican",0.477843934609604
"112",1976,"OREGON","Third_Party",0.0459754378196987
"113",1976,"PENNSYLVANIA","Democrat",0.503956793507253
"114",1976,"PENNSYLVANIA","Republican",0.477322153131058
"115",1976,"PENNSYLVANIA","Third_Party",0.0187210533616892
"116",1976,"RHODE ISLAND","Democrat",0.554420045593593
"117",1976,"RHODE ISLAND","Republican",0.441441946106034
"118",1976,"RHODE ISLAND","Third_Party",0.00413800830037215
"119",1976,"SOUTH CAROLINA","Democrat",0.561695176698236
"120",1976,"SOUTH CAROLINA","Republican",0.431293710432441
"121",1976,"SOUTH CAROLINA","Third_Party",0.00701111286932317
"122",1976,"SOUTH DAKOTA","Democrat",0.48912125263571
"123",1976,"SOUTH DAKOTA","Republican",0.503877902606775
"124",1976,"SOUTH DAKOTA","Third_Party",0.00700084475751468
"125",1976,"TENNESSEE","Democrat",0.559407483069687
"126",1976,"TENNESSEE","Republican",0.429417629742621
"127",1976,"TENNESSEE","Third_Party",0.0111748871876918
"128",1976,"TEXAS","Democrat",0.511389568072175
"129",1976,"TEXAS","Republican",0.479704235189411
"130",1976,"TEXAS","Third_Party",0.00890619673841396
"131",1976,"UTAH","Democrat",0.336481787375882
"132",1976,"UTAH","Republican",0.624347305521989
"133",1976,"UTAH","Third_Party",0.0391709071021289
