"","year","state","region","Democrat","Republican","Third_Party","NAME"
"1",2020,"ALABAMA","Southeast",0.365699902121223,0.620316431668648,0.0139836662101286,"Alabama"
"2",2020,"ALASKA","Pacific",0.427719522710205,0.528331432703808,0.0439490445859873,"Alaska"
"3",2020,"ARIZONA","Southwest",0.493646906143666,0.490559810304647,0.0157932835516865,"Arizona"
"4",2020,"ARKANSAS","Southeast",0.34775061953015,0.623957298561443,0.0282920819084072,"Arkansas"
"5",2020,"CALIFORNIA","Pacific",0.634839468938735,0.343207236252849,0.0219532948084156,"California"
"6",2020,"COLORADO","Rocky Mountain",0.550110671406533,0.416041256349124,0.033848072244343,"Colorado"
"7",2020,"CONNECTICUT","Northeast",0.592607315156835,0.391871182883307,0.0155215019598576,"Connecticut"
"8",2020,"DELAWARE","Northeast",0.587430057936417,0.397748767711055,0.0148211743525278,"Delaware"
"9",2020,"DISTRICT OF COLUMBIA","Northeast",0.921496939214069,0.053973213767148,0.0245298470187829,"District Of Columbia"
"10",2020,"FLORIDA","Southeast",0.478614507254422,0.51219819622504,0.00918729652053733,"Florida"
"11",2020,"GEORGIA","Southeast",0.494730557844463,0.492374738997912,0.0128947031576253,"Georgia"
"12",2020,"HAWAII","Pacific",0.631493797690174,0.339547141694148,0.0289590606156776,"Hawaii"
"13",2020,"IDAHO","Rocky Mountain",0.33066402154804,0.638375648319036,0.0309603301329241,"Idaho"
"14",2020,"ILLINOIS","Midwest",0.575416453766758,0.405534508181737,0.0190490380515047,"Illinois"
"15",2020,"INDIANA","Midwest",0.409616770597121,0.570211577657051,0.0201716517458272,"Indiana"
"16",2020,"IOWA","Midwest",0.446472328586637,0.528001976319458,0.0255256950939046,"Iowa"
"17",2020,"KANSAS","Midwest",0.415595535388322,0.562125128342647,0.022279336269031,"Kansas"
"18",2020,"KENTUCKY","Southeast",0.36151514811154,0.620865718692904,0.0176191331955552,"Kentucky"
"19",2020,"LOUISIANA","Southeast",0.398514568015262,0.584608824140085,0.0168766078446525,"Louisiana"
"20",2020,"MAINE","Northeast",0.525255793457724,0.435512281104183,0.0392319254380935,"Maine"
"21",2020,"MARYLAND","Northeast",0.653606648600771,0.321502915677488,0.0248904357217413,"Maryland"
"22",2020,"MASSACHUSETTS","Northeast",0.651229837028654,0.31908157588631,0.0296885870850368,"Massachusetts"
"23",2020,"MICHIGAN","Midwest",0.506208182908244,0.478372906911376,0.0154189101803801,"Michigan"
"24",2020,"MINNESOTA","Midwest",0.5239509930974,0.452849424091694,0.0231995828109061,"Minnesota"
"25",2020,"MISSISSIPPI","Southeast",0.410576064559786,0.576029545753825,0.0133943896863884,"Mississippi"
"26",2020,"MISSOURI","Midwest",0.414087817361884,0.567996557788895,0.0179156248492215,"Missouri"
"27",2020,"MONTANA","Rocky Mountain",0.405493693616091,0.569184692400203,0.0253216139837064,"Montana"
"28",2020,"NEBRASKA","Midwest",0.39166630941788,0.582241633320542,0.0260920572615783,"Nebraska"
"29",2020,"NEVADA","Rocky Mountain",0.50056781957284,0.476662473245594,0.0227697071815656,"Nevada"
"30",2020,"NEW HAMPSHIRE","Northeast",0.527078252801477,0.453562595046776,0.0193591521517474,"New Hampshire"
"31",2020,"NEW JERSEY","Northeast",0.57334196752813,0.413965238573485,0.0126927938983851,"New Jersey"
"32",2020,"NEW MEXICO","Southwest",0.542892858495722,0.434966692461295,0.0221404490429832,"New Mexico"
"33",2020,"NEW YORK","Northeast",0.603918845358349,0.374612938400909,0.0214682162407416,"New York"
"34",2020,"NORTH CAROLINA","Southeast",0.485862117773632,0.499343324882955,0.0147945573434125,"North Carolina"
"35",2020,"NORTH DAKOTA","Midwest",0.317567623590801,0.651140487370757,0.0312918890384419,"North Dakota"
"36",2020,"OHIO","Midwest",0.45239338340705,0.532713001008746,0.0148936155842033,"Ohio"
"37",2020,"OKLAHOMA","Southwest",0.322861743359866,0.65373271848063,0.0234055381595042,"Oklahoma"
"38",2020,"OREGON","Pacific",0.564533186540489,0.403672460463434,0.0317943529960776,"Oregon"
"39",2020,"PENNSYLVANIA","Northeast",0.500084956754481,0.488436120401725,0.011478922843794,"Pennsylvania"
"40",2020,"RHODE ISLAND","Northeast",0.594761987659336,0.386703804715759,0.0185342076249057,"Rhode Island"
"41",2020,"SOUTH CAROLINA","Southeast",0.434168384978139,0.550934809171965,0.0148968058498959,"South Carolina"
"42",2020,"SOUTH DAKOTA","Midwest",0.356052521361353,0.617693896722502,0.0262535819161447,"South Dakota"
"43",2020,"TENNESSEE","Southeast",0.374514342710237,0.606602941662838,0.0188827156269248,"Tennessee"
"44",2020,"TEXAS","Southwest",0.464790099138705,0.520576036035526,0.0146338648257684,"Texas"
"45",2020,"UTAH","Rocky Mountain",0.376460485833061,0.581298390299196,0.0422411238677434,"Utah"
"46",2020,"VERMONT","Northeast",0.654557805525005,0.303810571262211,0.0416316232127839,"Vermont"
"47",2020,"VIRGINIA","Southeast",0.541095171778024,0.439955036672821,0.0189497915491543,"Virginia"
"48",2020,"WASHINGTON","Pacific",0.579703011353031,0.387669777433433,0.0326272112135366,"Washington"
"49",2020,"WEST VIRGINIA","Southeast",0.296965212445196,0.686315519246161,0.0167192683086433,"West Virginia"
"50",2020,"WISCONSIN","Midwest",0.494495368614277,0.488224373196088,0.0172802581896344,"Wisconsin"
"51",2020,"WYOMING","Rocky Mountain",0.263878665579904,0.694997899484027,0.0411234349360689,"Wyoming"
