"","GEOID","NAME","total","white","black","aian","asian","twoormore","nhpi","hispanic","whiteperc","blackperc","aianperc","asianperc","twoormoreperc","nhpiperc","hispanicperc","year","state","region","Democrat","Republican","Third_Party","demPred","repPred","thirdPred"
"1","42","Pennsylvania",13002700,9750687,1423169,31052,510501,774484,4276,1049615,0.74989709829497,0.109451806163335,0.00238811939058811,0.0392611534527444,0.0595633214640036,0.000328854776315688,0.0807228498696425,2020,"PENNSYLVANIA","Northeast",0.500084956754481,0.488436120401725,0.011478922843794,0.488285200691089,0.490217479906314,0.021497319402597
"2","06","California",39538223,16296122,2237044,631016,6085947,5760235,157263,15579652,0.412161214225536,0.0565792751990903,0.01595964492385,0.15392565821686,0.145687756376912,0.00397749286810386,0.394040268324654,2020,"CALIFORNIA","Pacific",0.634839468938735,0.343207236252849,0.0219532948084156,0.715773869580513,0.261926394028332,0.022299736391154
"3","54","West Virginia",1793716,1610749,65813,3706,15109,84944,476,34827,0.897995557825208,0.036690869680596,0.00206610188011926,0.00842329554957418,0.0473564376969375,0.000265370883685043,0.0194161171556701,2020,"WEST VIRGINIA","Southeast",0.296965212445196,0.686315519246161,0.0167192683086433,0.418578370401591,0.554702352303248,0.0267192772951616
"4","49","Utah",3271616,2573413,40058,41644,80438,279013,36930,492912,0.786587729122244,0.0122441019973004,0.0127288777167002,0.0245866263033314,0.0852829305150727,0.0112879995696316,0.15066315851249,2020,"UTAH","Rocky Mountain",0.376460485833061,0.581298390299196,0.0422411238677434,0.353076048891045,0.616201871192262,0.0307220799166935
"5","36","New York",20201249,11143349,2986172,149690,1933127,1767463,10815,3948032,0.551616833196799,0.147821156998758,0.00740993787067324,0.0956934395492081,0.0874927584923091,0.000535362937212447,0.195435044635111,2020,"NEW YORK","Northeast",0.603918845358349,0.374612938400909,0.0214682162407416,0.610092192302315,0.371266512739419,0.0186412949582654
"6","02","Alaska",733391,435392,21898,111575,44032,89524,12698,49824,0.593669679611558,0.029858561122239,0.152135763869478,0.0600389151216745,0.122068582788717,0.0173140930281391,0.0679364759043948,2020,"ALASKA","Pacific",0.427719522710205,0.528331432703808,0.0439490445859873,0.383278049561955,0.579621882500351,0.0371000679376936
"7","12","Florida",21538187,12422961,3246381,94795,643682,3552072,14014,5697240,0.576787684125874,0.150726753370653,0.00440125252882241,0.0298856166491636,0.164919730708996,0.000650658293569463,0.264518085946603,2020,"FLORIDA","Southeast",0.478614507254422,0.51219819622504,0.00918729652053733,0.52731782702312,0.460147798015918,0.0125343749609623
"8","45","South Carolina",5118425,3243442,1280531,24303,90466,298376,3431,352838,0.63367969639098,0.250180670811822,0.00474814029706404,0.0176745776288604,0.0582944948885644,0.0006703233904961,0.0689348774281151,2020,"SOUTH CAROLINA","Southeast",0.434168384978139,0.550934809171965,0.0148968058498959,0.420854896465137,0.562745018841738,0.0164000846931252
"9","38","North Dakota",779094,645938,26783,38914,13213,41940,924,33412,0.82908865939155,0.0343771098224348,0.0499477598338583,0.01695944263465,0.0538317584270961,0.00118599296105476,0.0428857108384868,2020,"NORTH DAKOTA","Midwest",0.317567623590801,0.651140487370757,0.0312918890384419,0.411577664196879,0.559559016915333,0.0288633188877883
"10","23","Maine",1362359,1237041,25752,7885,16798,64710,443,26609,0.908013966949974,0.0189025066080233,0.00578775491628858,0.0123300833333945,0.0474984934220716,0.000325171265430037,0.0195315625323428,2020,"MAINE","Northeast",0.525255793457724,0.435512281104183,0.0392319254380935,0.427829057310646,0.544612279626391,0.027558663062963
